slot,rnd,pos,pos_share,mix,top_names
2,6,RB,0.48428571428571426,RB48/TE31/WR11,Harold Fannin Jr. (23%); David Montgomery (9%); Jadarian Price (8%)
2,7,WR,0.5328571428571428,WR53/RB34/TE11,Chris Godwin Jr. (17%); TreVeyon Henderson (9%); Parker Washington (9%)
2,8,WR,0.55,WR55/QB22/TE14,Brock Purdy (14%); Brian Thomas Jr. (13%); Michael Pittman Jr. (10%)
2,9,QB,0.5042857142857143,QB50/TE41/WR8,Brock Purdy (30%); George Kittle (21%); Jared Goff (15%)
2,10,TE,0.7342857142857143,TE73/RB17/WR5,Isaiah Likely (29%); Dalton Kincaid (22%); Dallas Goedert (10%)
2,11,RB,0.4657142857142857,RB47/TE33/WR18,Dallas Goedert (14%); MarShawn Lloyd (13%); Isaiah Likely (11%)
2,12,RB,0.45714285714285713,RB46/WR31/TE23,De'Zhaun Stribling (12%); MarShawn Lloyd (11%); Brenton Strange (7%)
2,13,DST,1.0,DST100,Houston Texans (80%); Denver Broncos (20%)
2,14,K,1.0,K100,Ka'imi Fairbairn (45%); Brandon Aubrey (29%); Cameron Dicker (17%)
2,15,WR,0.5428571428571428,WR54/RB32/TE13,Tyreek Hill (21%); Josh Jacobs (17%); Jordyn Tyson (10%)
3,1,WR,0.5671428571428572,WR57/RB43,Jahmyr Gibbs (43%); Puka Nacua (40%); Ja'Marr Chase (16%)
3,2,RB,0.6185714285714285,RB62/TE24/QB14,Saquon Barkley (29%); Trey McBride (24%); James Cook III (15%)
3,3,QB,0.53,QB53/RB45/TE2,Josh Allen (29%); Joe Burrow (24%); Saquon Barkley (17%)
3,4,RB,0.7128571428571429,RB71/QB21/TE4,Kyren Williams (17%); Joe Burrow (16%); Jeremiyah Love (11%)
3,5,RB,0.7042857142857143,RB70/TE22/WR7,D'Andre Swift (25%); Tyler Warren (15%); Travis Etienne Jr. (14%)
3,6,RB,0.44285714285714284,RB44/TE33/WR13,Harold Fannin Jr. (25%); David Montgomery (11%); Jadarian Price (10%)
3,7,WR,0.43,WR43/RB42/TE13,Tony Pollard (14%); TreVeyon Henderson (12%); Chris Godwin Jr. (10%)
3,8,WR,0.5728571428571428,WR57/QB22/TE13,Brock Purdy (15%); Brian Thomas Jr. (13%); Michael Pittman Jr. (12%)
3,9,QB,0.48142857142857143,QB48/TE43/WR9,Brock Purdy (29%); George Kittle (21%); Jared Goff (15%)
3,10,TE,0.72,TE72/RB15/QB7,Isaiah Likely (26%); Dalton Kincaid (22%); Travis Kelce (11%)
3,11,RB,0.40714285714285714,RB41/TE34/WR21,Dallas Goedert (13%); MarShawn Lloyd (12%); Isaiah Likely (12%)
3,12,RB,0.43714285714285717,RB44/WR31/TE25,MarShawn Lloyd (12%); De'Zhaun Stribling (12%); Brenton Strange (8%)
3,13,DST,0.9842857142857143,DST98/K2,Houston Texans (69%); Denver Broncos (29%); Brandon Aubrey (2%)
3,14,K,0.9842857142857143,K98/DST2,Ka'imi Fairbairn (46%); Brandon Aubrey (33%); Cameron Dicker (14%)
3,15,WR,0.5114285714285715,WR51/RB37/TE11,Josh Jacobs (21%); Tyreek Hill (18%); Jordyn Tyson (10%)
4,1,RB,0.5571428571428572,RB56/WR44,Puka Nacua (40%); Bijan Robinson (36%); Jahmyr Gibbs (20%)
4,2,RB,0.6285714285714286,RB63/TE27/QB10,Trey McBride (27%); Saquon Barkley (27%); James Cook III (16%)
4,3,QB,0.5985714285714285,QB60/RB39/TE1,Joe Burrow (34%); Josh Allen (26%); Saquon Barkley (16%)
4,4,RB,0.7414285714285714,RB74/QB20/TE3,Kyren Williams (19%); Joe Burrow (14%); Derrick Henry (14%)
4,5,RB,0.6728571428571428,RB67/TE24/WR8,D'Andre Swift (24%); Tyler Warren (18%); Travis Etienne Jr. (13%)
4,6,RB,0.4657142857142857,RB47/TE32/WR15,Harold Fannin Jr. (25%); David Montgomery (12%); Jadarian Price (10%)
4,7,WR,0.5185714285714286,WR52/RB34/TE12,Chris Godwin Jr. (13%); Tony Pollard (10%); Jadarian Price (9%)
4,8,WR,0.5957142857142858,WR60/QB20/TE12,Brian Thomas Jr. (13%); Brock Purdy (13%); DK Metcalf (11%)
4,9,QB,0.47,QB47/TE44/WR8,Brock Purdy (29%); George Kittle (23%); Jared Goff (14%)
4,10,TE,0.7542857142857143,TE75/RB12/QB7,Dalton Kincaid (29%); Isaiah Likely (24%); Travis Kelce (9%)
4,11,RB,0.4357142857142857,RB44/TE35/WR17,Dallas Goedert (15%); Isaiah Likely (13%); MarShawn Lloyd (12%)
4,12,RB,0.5028571428571429,RB50/WR31/TE18,MarShawn Lloyd (16%); De'Zhaun Stribling (11%); Woody Marks (7%)
4,13,DST,0.97,DST97/K3,Houston Texans (56%); Denver Broncos (41%); Brandon Aubrey (3%)
4,14,K,0.97,K97/DST3,Ka'imi Fairbairn (44%); Brandon Aubrey (40%); Cameron Dicker (10%)
4,15,WR,0.5514285714285714,WR55/RB31/TE14,Tyreek Hill (20%); Josh Jacobs (18%); Deebo Samuel Sr. (10%)
5,1,RB,0.7,RB70/WR30,Bijan Robinson (38%); Puka Nacua (29%); Jonathan Taylor (23%)
5,2,RB,0.6528571428571428,RB65/TE29/QB6,Trey McBride (29%); Saquon Barkley (25%); James Cook III (19%)
5,3,QB,0.6285714285714286,QB63/RB36/TE1,Joe Burrow (47%); Josh Allen (16%); Saquon Barkley (16%)
5,4,RB,0.7471428571428571,RB75/QB21/WR3,Kyren Williams (20%); Derrick Henry (17%); Joe Burrow (15%)
5,5,RB,0.6457142857142857,RB65/TE26/WR9,D'Andre Swift (28%); Tyler Warren (20%); Travis Etienne Jr. (10%)
5,6,RB,0.45285714285714285,RB45/TE29/WR17,Harold Fannin Jr. (23%); David Montgomery (12%); Jadarian Price (9%)
5,7,WR,0.5542857142857143,WR55/RB31/TE11,Chris Godwin Jr. (18%); Tony Pollard (13%); Carnell Tate (9%)
5,8,WR,0.6371428571428571,WR64/QB21/TE10,Brian Thomas Jr. (16%); DK Metcalf (12%); Brock Purdy (12%)
5,9,QB,0.4685714285714286,QB47/TE46/WR7,Brock Purdy (26%); George Kittle (21%); Jared Goff (17%)
5,10,TE,0.7085714285714285,TE71/RB17/QB6,Dalton Kincaid (26%); Isaiah Likely (24%); Travis Kelce (10%)
5,11,RB,0.40285714285714286,RB40/TE38/WR20,Dallas Goedert (15%); Isaiah Likely (12%); MarShawn Lloyd (12%)
5,12,RB,0.44857142857142857,RB45/WR31/TE22,De'Zhaun Stribling (10%); MarShawn Lloyd (9%); Woody Marks (8%)
5,13,DST,0.9528571428571428,DST95/K5,Houston Texans (51%); Denver Broncos (44%); Brandon Aubrey (5%)
5,14,K,0.9528571428571428,K95/DST5,Brandon Aubrey (51%); Ka'imi Fairbairn (37%); Cameron Dicker (5%)
5,15,WR,0.5128571428571429,WR51/RB36/TE13,Josh Jacobs (21%); Tyreek Hill (17%); Jordyn Tyson (10%)
6,1,RB,0.8128571428571428,RB81/WR19,Jonathan Taylor (55%); Bijan Robinson (22%); Puka Nacua (18%)
6,2,RB,0.6,RB60/TE38/QB2,Trey McBride (38%); James Cook III (24%); Saquon Barkley (15%)
6,3,QB,0.69,QB69/RB30/TE0,Joe Burrow (57%); Josh Allen (11%); Saquon Barkley (11%)
6,4,RB,0.7571428571428571,RB76/QB19/WR3,Derrick Henry (22%); Kyren Williams (21%); Breece Hall (16%)
6,5,RB,0.6757142857142857,RB68/TE24/WR7,D'Andre Swift (25%); Tyler Warren (21%); Bucky Irving (15%)
6,6,RB,0.4957142857142857,RB50/TE27/WR18,Harold Fannin Jr. (21%); David Montgomery (15%); Quinshon Judkins (9%)
6,7,WR,0.6514285714285715,WR65/RB24/TE8,Chris Godwin Jr. (21%); DK Metcalf (12%); Tony Pollard (11%)
6,8,WR,0.63,WR63/QB21/TE10,Brian Thomas Jr. (17%); Michael Pittman Jr. (12%); DK Metcalf (11%)
6,9,QB,0.4742857142857143,QB47/TE46/WR6,Brock Purdy (27%); George Kittle (21%); Jared Goff (18%)
6,10,TE,0.7214285714285714,TE72/RB13/WR9,Dalton Kincaid (27%); Isaiah Likely (23%); Travis Kelce (9%)
6,11,RB,0.39,RB39/TE39/WR19,Isaiah Likely (15%); Dallas Goedert (13%); MarShawn Lloyd (11%)
6,12,RB,0.5042857142857143,RB50/WR29/TE18,MarShawn Lloyd (12%); De'Zhaun Stribling (9%); Woody Marks (7%)
6,13,DST,0.9371428571428572,DST94/K6,Denver Broncos (52%); Houston Texans (42%); Brandon Aubrey (6%)
6,14,K,0.9371428571428572,K94/DST6,Brandon Aubrey (60%); Ka'imi Fairbairn (31%); Minnesota Vikings (3%)
6,15,WR,0.5071428571428571,WR51/RB37/TE12,Josh Jacobs (22%); Tyreek Hill (16%); Jordyn Tyson (10%)
7,1,RB,0.9285714285714286,RB93/WR7,Jonathan Taylor (74%); Bijan Robinson (12%); Puka Nacua (7%)
7,2,RB,0.6014285714285714,RB60/TE39/QB1,Trey McBride (39%); James Cook III (27%); Chase Brown (17%)
7,3,QB,0.7071428571428572,QB71/RB29/TE0,Joe Burrow (64%); Saquon Barkley (12%); Derrick Henry (8%)
7,4,RB,0.7542857142857143,RB75/QB21/WR2,Derrick Henry (22%); Breece Hall (19%); Kyren Williams (18%)
7,5,RB,0.6457142857142857,RB65/TE26/WR7,D'Andre Swift (27%); Tyler Warren (23%); Bucky Irving (16%)
7,6,RB,0.5057142857142857,RB51/TE24/WR21,Harold Fannin Jr. (20%); David Montgomery (17%); Bucky Irving (9%)
7,7,WR,0.71,WR71/RB19/TE9,Chris Godwin Jr. (24%); DK Metcalf (14%); Tony Pollard (10%)
7,8,WR,0.6814285714285714,WR68/QB18/TE10,Brian Thomas Jr. (18%); Michael Pittman Jr. (15%); DK Metcalf (12%)
7,9,TE,0.4828571428571429,TE48/QB45/WR6,George Kittle (24%); Brock Purdy (23%); Jared Goff (19%)
7,10,TE,0.7342857142857143,TE73/RB13/QB7,Dalton Kincaid (28%); Isaiah Likely (23%); Travis Kelce (14%)
7,11,RB,0.4328571428571429,RB43/TE36/WR17,Dallas Goedert (15%); MarShawn Lloyd (14%); Isaiah Likely (12%)
7,12,RB,0.4942857142857143,RB49/WR32/TE16,MarShawn Lloyd (13%); De'Zhaun Stribling (11%); Woody Marks (7%)
7,13,DST,0.8785714285714286,DST88/K12,Denver Broncos (55%); Houston Texans (33%); Brandon Aubrey (12%)
7,14,K,0.8785714285714286,K88/DST12,Brandon Aubrey (67%); Ka'imi Fairbairn (20%); Minnesota Vikings (6%)
7,15,WR,0.5142857142857142,WR51/RB35/TE13,Josh Jacobs (20%); Tyreek Hill (18%); Jordyn Tyson (10%)
8,1,RB,0.9685714285714285,RB97/WR3,Jonathan Taylor (79%); Christian McCaffrey (12%); Bijan Robinson (4%)
8,2,RB,0.66,RB66/TE33/QB1,James Cook III (38%); Trey McBride (33%); Chase Brown (14%)
8,3,QB,0.7228571428571429,QB72/RB27/TE0,Joe Burrow (68%); Derrick Henry (9%); Saquon Barkley (8%)
8,4,RB,0.7914285714285715,RB79/QB18/WR2,Derrick Henry (29%); Breece Hall (22%); Kyren Williams (13%)
8,5,RB,0.6171428571428571,RB62/TE28/WR9,D'Andre Swift (26%); Tyler Warren (24%); Bucky Irving (18%)
8,6,RB,0.4585714285714286,RB46/TE26/WR22,Harold Fannin Jr. (24%); David Montgomery (18%); Jameson Williams (8%)
8,7,WR,0.7085714285714285,WR71/RB16/TE11,Chris Godwin Jr. (23%); DK Metcalf (14%); Carnell Tate (10%)
8,8,WR,0.7042857142857143,WR70/QB18/TE9,Brian Thomas Jr. (18%); Michael Pittman Jr. (14%); DK Metcalf (14%)
8,9,TE,0.48857142857142855,TE49/QB43/WR6,Jared Goff (23%); George Kittle (22%); Brock Purdy (18%)
8,10,TE,0.69,TE69/RB15/QB9,Dalton Kincaid (27%); Isaiah Likely (20%); Travis Kelce (13%)
8,11,RB,0.4185714285714286,RB42/TE39/WR16,Dallas Goedert (16%); Isaiah Likely (14%); MarShawn Lloyd (13%)
8,12,RB,0.48428571428571426,RB48/WR30/TE19,MarShawn Lloyd (9%); De'Zhaun Stribling (8%); Woody Marks (8%)
8,13,DST,0.8471428571428572,DST85/K15,Denver Broncos (57%); Houston Texans (28%); Brandon Aubrey (15%)
8,14,K,0.8471428571428572,K85/DST15,Brandon Aubrey (69%); Ka'imi Fairbairn (15%); Minnesota Vikings (7%)
8,15,WR,0.5385714285714286,WR54/RB34/TE12,Tyreek Hill (20%); Josh Jacobs (19%); Jordyn Tyson (10%)
9,1,RB,0.9842857142857143,RB98/WR2,Jonathan Taylor (76%); Christian McCaffrey (17%); James Cook III (5%)
9,2,RB,0.5871428571428572,RB59/TE41/WR0,Trey McBride (41%); James Cook III (38%); Chase Brown (11%)
9,3,QB,0.7457142857142857,QB75/RB25/TE0,Joe Burrow (72%); Derrick Henry (11%); Saquon Barkley (7%)
9,4,RB,0.8128571428571428,RB81/QB17/WR2,Derrick Henry (29%); Breece Hall (24%); Kyren Williams (15%)
9,5,RB,0.6414285714285715,RB64/TE25/WR7,Tyler Warren (21%); Bucky Irving (21%); D'Andre Swift (21%)
9,6,RB,0.48142857142857143,RB48/WR25/TE22,Harold Fannin Jr. (20%); David Montgomery (18%); Jameson Williams (11%)
9,7,WR,0.7085714285714285,WR71/RB16/TE10,Chris Godwin Jr. (25%); DK Metcalf (14%); Carnell Tate (9%)
9,8,WR,0.6885714285714286,WR69/QB17/TE9,Michael Pittman Jr. (16%); Brian Thomas Jr. (16%); DK Metcalf (15%)
9,9,TE,0.5,TE50/QB43/WR5,Brock Purdy (20%); Jared Goff (20%); George Kittle (20%)
9,10,TE,0.6628571428571428,TE66/RB17/QB9,Dalton Kincaid (28%); Isaiah Likely (19%); Travis Kelce (11%)
9,11,RB,0.4114285714285714,RB41/TE37/WR20,MarShawn Lloyd (16%); Isaiah Likely (14%); Dallas Goedert (13%)
9,12,RB,0.4714285714285714,RB47/WR31/TE20,MarShawn Lloyd (11%); De'Zhaun Stribling (9%); Juwan Johnson (7%)
9,13,DST,0.8242857142857143,DST82/K18,Denver Broncos (60%); Houston Texans (23%); Brandon Aubrey (18%)
9,14,K,0.8242857142857143,K82/DST18,Brandon Aubrey (74%); Ka'imi Fairbairn (9%); Philadelphia Eagles (8%)
9,15,WR,0.5071428571428571,WR51/RB34/TE14,Josh Jacobs (19%); Tyreek Hill (15%); De'Zhaun Stribling (10%)
10,1,RB,0.9885714285714285,RB99/WR1/TE1,Jonathan Taylor (68%); Christian McCaffrey (20%); James Cook III (10%)
10,2,RB,0.5885714285714285,RB59/TE41/WR0,James Cook III (43%); Trey McBride (41%); Christian McCaffrey (8%)
10,3,QB,0.7714285714285715,QB77/RB23/WR0,Joe Burrow (73%); Derrick Henry (12%); Saquon Barkley (5%)
10,4,RB,0.8271428571428572,RB83/QB15/WR2,Derrick Henry (37%); Breece Hall (23%); Kyren Williams (9%)
10,5,RB,0.6642857142857143,RB66/TE24/WR8,D'Andre Swift (21%); Bucky Irving (20%); Tyler Warren (20%)
10,6,RB,0.49714285714285716,RB50/WR23/TE23,Harold Fannin Jr. (21%); David Montgomery (20%); Jameson Williams (10%)
10,7,WR,0.7028571428571428,WR70/RB15/TE11,Chris Godwin Jr. (21%); DK Metcalf (16%); Carnell Tate (10%)
10,8,WR,0.7128571428571429,WR71/QB17/TE9,Brian Thomas Jr. (17%); DK Metcalf (14%); Michael Pittman Jr. (14%)
10,9,TE,0.5171428571428571,TE52/QB41/WR5,Jared Goff (21%); George Kittle (18%); Brock Purdy (16%)
10,10,TE,0.6342857142857142,TE63/RB17/QB11,Dalton Kincaid (26%); Isaiah Likely (17%); Travis Kelce (12%)
10,11,TE,0.43857142857142856,TE44/RB38/WR16,Isaiah Likely (16%); Dallas Goedert (14%); MarShawn Lloyd (13%)
10,12,RB,0.5128571428571429,RB51/WR30/TE17,MarShawn Lloyd (10%); Jordan Mason (8%); De'Zhaun Stribling (6%)
10,13,DST,0.7642857142857142,DST76/K24,Denver Broncos (59%); Brandon Aubrey (24%); Houston Texans (18%)
10,14,K,0.7642857142857142,K76/DST24,Brandon Aubrey (73%); Philadelphia Eagles (9%); Los Angeles Rams (7%)
10,15,WR,0.5228571428571429,WR52/RB34/TE14,Tyreek Hill (18%); Josh Jacobs (18%); Jordyn Tyson (10%)
11,1,RB,0.9742857142857143,RB97/TE3,Jonathan Taylor (59%); Christian McCaffrey (19%); James Cook III (19%)
11,2,RB,0.5914285714285714,RB59/TE39/WR2,James Cook III (41%); Trey McBride (39%); Christian McCaffrey (12%)
11,3,QB,0.7714285714285715,QB77/RB23/TE0,Joe Burrow (73%); Derrick Henry (16%); Saquon Barkley (3%)
11,4,RB,0.8257142857142857,RB83/QB16/WR1,Derrick Henry (39%); Breece Hall (23%); Ashton Jeanty (8%)
11,5,RB,0.6414285714285715,RB64/TE23/WR11,Bucky Irving (23%); Tyler Warren (19%); David Montgomery (16%)
11,6,RB,0.45714285714285713,RB46/WR28/TE23,Harold Fannin Jr. (22%); David Montgomery (15%); Jameson Williams (12%)
11,7,WR,0.6571428571428571,WR66/RB18/TE12,Chris Godwin Jr. (17%); DK Metcalf (15%); Tony Pollard (10%)
11,8,WR,0.7214285714285714,WR72/QB13/TE11,Brian Thomas Jr. (19%); DK Metcalf (14%); Michael Pittman Jr. (13%)
11,9,TE,0.5385714285714286,TE54/QB38/WR6,Jared Goff (22%); George Kittle (20%); Brock Purdy (15%)
11,10,TE,0.6485714285714286,TE65/RB18/QB9,Dalton Kincaid (26%); Isaiah Likely (18%); Travis Kelce (12%)
11,11,RB,0.4257142857142857,RB43/TE37/WR18,MarShawn Lloyd (15%); Dallas Goedert (13%); Isaiah Likely (12%)
11,12,RB,0.4757142857142857,RB48/WR33/TE17,Jordan Mason (8%); MarShawn Lloyd (8%); De'Zhaun Stribling (7%)
11,13,DST,0.7014285714285714,DST70/K30,Denver Broncos (56%); Brandon Aubrey (30%); Houston Texans (14%)
11,14,K,0.7014285714285714,K70/DST30,Brandon Aubrey (69%); Los Angeles Rams (13%); Seattle Seahawks (9%)
11,15,WR,0.5157142857142857,WR52/RB35/TE13,Josh Jacobs (22%); Tyreek Hill (19%); De'Zhaun Stribling (9%)
12,1,RB,0.9342857142857143,RB93/TE7,Jonathan Taylor (49%); James Cook III (26%); Christian McCaffrey (17%)
12,2,RB,0.5485714285714286,RB55/TE42/WR3,Trey McBride (42%); James Cook III (35%); Christian McCaffrey (14%)
12,3,QB,0.79,QB79/RB21,Joe Burrow (74%); Derrick Henry (14%); Lamar Jackson (3%)
12,4,RB,0.8471428571428572,RB85/QB14/WR1,Derrick Henry (42%); Breece Hall (24%); Ashton Jeanty (8%)
12,5,RB,0.6785714285714286,RB68/TE17/WR12,Bucky Irving (23%); David Montgomery (19%); D'Andre Swift (17%)
12,6,RB,0.4685714285714286,RB47/WR30/TE19,Harold Fannin Jr. (18%); David Montgomery (17%); Jameson Williams (13%)
12,7,WR,0.6257142857142857,WR63/RB20/TE15,Chris Godwin Jr. (16%); DK Metcalf (15%); Tony Pollard (13%)
12,8,WR,0.7342857142857143,WR73/QB13/TE8,Brian Thomas Jr. (18%); DK Metcalf (16%); Michael Pittman Jr. (12%)
12,9,TE,0.5528571428571428,TE55/QB38/WR5,Jared Goff (24%); George Kittle (18%); Dalton Kincaid (16%)
12,10,TE,0.5957142857142858,TE60/RB21/WR11,Dalton Kincaid (26%); Isaiah Likely (15%); Travis Kelce (11%)
12,11,RB,0.4014285714285714,RB40/TE40/WR19,Isaiah Likely (16%); MarShawn Lloyd (14%); Dallas Goedert (12%)
12,12,RB,0.4657142857142857,RB47/WR30/TE21,MarShawn Lloyd (11%); Juwan Johnson (8%); Jordan Mason (7%)
12,13,DST,0.6457142857142857,DST65/K35,Denver Broncos (55%); Brandon Aubrey (35%); Houston Texans (9%)
12,14,K,0.6457142857142857,K65/DST35,Brandon Aubrey (64%); Los Angeles Rams (24%); Seattle Seahawks (9%)
12,15,WR,0.5271428571428571,WR53/RB33/TE13,Josh Jacobs (19%); Tyreek Hill (17%); De'Zhaun Stribling (10%)
